TITLE     = ""
VARIABLES = "x/L"
"Ma"
ZONE T="ZONE 001"
 STRANDID=0, SOLUTIONTIME=0
 I=201, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.000000015E-001 1.159999967E+000
 1.045000032E-001 1.167524815E+000
 1.089999974E-001 1.175064564E+000
 1.134999990E-001 1.182619452E+000
 1.180000007E-001 1.190189242E+000
 1.225000024E-001 1.197773695E+000
 1.270000041E-001 1.205372810E+000
 1.315000057E-001 1.212986112E+000
 1.360000074E-001 1.220613599E+000
 1.404999942E-001 1.228254914E+000
 1.449999958E-001 1.235909700E+000
 1.494999975E-001 1.243577838E+000
 1.539999992E-001 1.251258731E+000
 1.585000008E-001 1.258952379E+000
 1.630000025E-001 1.266658187E+000
 1.675000042E-001 1.274375916E+000
 1.720000058E-001 1.282105207E+000
 1.764999926E-001 1.289845705E+000
 1.809999943E-001 1.297597170E+000
 1.854999959E-001 1.305359006E+000
 1.899999976E-001 1.313131094E+000
 1.944999993E-001 1.320912838E+000
 1.990000010E-001 1.328704000E+000
 2.035000026E-001 1.336504221E+000
 2.080000043E-001 1.344313145E+000
 2.125000060E-001 1.352130294E+000
 2.169999927E-001 1.359955430E+000
 2.214999944E-001 1.367788076E+000
 2.259999961E-001 1.375627995E+000
 2.304999977E-001 1.383474708E+000
 2.349999994E-001 1.391327858E+000
 2.395000011E-001 1.399187088E+000
 2.440000027E-001 1.407052159E+000
 2.485000044E-001 1.414922595E+000
 2.529999912E-001 1.422797918E+000
 2.574999928E-001 1.430678129E+000
 2.619999945E-001 1.438562512E+000
 2.664999962E-001 1.446450949E+000
 2.709999979E-001 1.454342961E+000
 2.754999995E-001 1.462238312E+000
 2.800000012E-001 1.470136523E+000
 2.845000029E-001 1.478037477E+000
 2.890000045E-001 1.485940576E+000
 2.935000062E-001 1.493845701E+000
 2.980000079E-001 1.501752377E+000
 3.025000095E-001 1.509660482E+000
 3.070000112E-001 1.517569423E+000
 3.115000129E-001 1.525479198E+000
 3.160000145E-001 1.533389211E+000
 3.204999864E-001 1.541299224E+000
 3.249999881E-001 1.549208999E+000
 3.294999897E-001 1.557118297E+000
 3.339999914E-001 1.565026760E+000
 3.384999931E-001 1.572933912E+000
 3.429999948E-001 6.704325080E-001
 3.474999964E-001 6.638624668E-001
 3.519999981E-001 6.574156880E-001
 3.564999998E-001 6.510860920E-001
 3.610000014E-001 6.448682547E-001
 3.655000031E-001 6.387572885E-001
 3.700000048E-001 6.327485442E-001
 3.745000064E-001 6.268379092E-001
 3.790000081E-001 6.210215092E-001
 3.835000098E-001 6.152958274E-001
 3.880000114E-001 6.096575856E-001
 3.925000131E-001 6.041036844E-001
 3.970000148E-001 5.986313820E-001
 4.014999866E-001 5.932379961E-001
 4.059999883E-001 5.879210234E-001
 4.104999900E-001 5.826781988E-001
 4.149999917E-001 5.775073767E-001
 4.194999933E-001 5.724064708E-001
 4.239999950E-001 5.673735738E-001
 4.284999967E-001 5.624069571E-001
 4.329999983E-001 5.575047731E-001
 4.375000000E-001 5.526655912E-001
 4.420000017E-001 5.478877425E-001
 4.465000033E-001 5.431697965E-001
 4.510000050E-001 5.385104418E-001
 4.555000067E-001 5.339082479E-001
 4.600000083E-001 5.293620825E-001
 4.645000100E-001 5.248706937E-001
 4.690000117E-001 5.204329491E-001
 4.735000134E-001 5.160477757E-001
 4.779999852E-001 5.117141008E-001
 4.824999869E-001 5.074309111E-001
 4.869999886E-001 5.031972528E-001
 4.914999902E-001 4.990122616E-001
 4.959999919E-001 4.948749542E-001
 5.005000234E-001 4.907845259E-001
 5.049999952E-001 4.867401421E-001
 5.095000267E-001 4.827409983E-001
 5.139999986E-001 4.787863195E-001
 5.184999704E-001 4.748753607E-001
 5.230000019E-001 4.710074365E-001
 5.274999738E-001 4.671818018E-001
 5.320000052E-001 4.633978009E-001
 5.364999771E-001 4.596547782E-001
 5.410000086E-001 4.559521079E-001
 5.454999804E-001 4.522891343E-001
 5.500000119E-001 4.486653209E-001
 5.544999838E-001 4.450800121E-001
 5.590000153E-001 4.415327013E-001
 5.634999871E-001 4.380227923E-001
 5.680000186E-001 4.345497489E-001
 5.724999905E-001 4.311130643E-001
 5.770000219E-001 4.277122319E-001
 5.814999938E-001 4.243467450E-001
 5.860000253E-001 4.210160971E-001
 5.904999971E-001 4.177198112E-001
 5.950000286E-001 4.144574702E-001
 5.995000005E-001 4.112285376E-001
 6.039999723E-001 4.080326259E-001
 6.085000038E-001 4.048692882E-001
 6.129999757E-001 4.017381072E-001
 6.175000072E-001 3.986386359E-001
 6.219999790E-001 3.955704570E-001
 6.265000105E-001 3.925332129E-001
 6.309999824E-001 3.895264864E-001
 6.355000138E-001 3.865498900E-001
 6.399999857E-001 3.836030364E-001
 6.445000172E-001 3.806855679E-001
 6.489999890E-001 3.777970970E-001
 6.535000205E-001 3.749372959E-001
 6.579999924E-001 3.721057773E-001
 6.625000238E-001 3.693022430E-001
 6.669999957E-001 3.665263057E-001
 6.715000272E-001 3.637776673E-001
 6.759999990E-001 3.610559404E-001
 6.804999709E-001 3.583608866E-001
 6.850000024E-001 3.556921184E-001
 6.894999743E-001 3.530493677E-001
 6.940000057E-001 3.504322767E-001
 6.984999776E-001 3.478406072E-001
 7.030000091E-001 3.452740014E-001
 7.074999809E-001 3.427321911E-001
 7.120000124E-001 3.402149081E-001
 7.164999843E-001 3.377218246E-001
 7.210000157E-001 3.352526724E-001
 7.254999876E-001 3.328071833E-001
 7.300000191E-001 3.303851187E-001
 7.344999909E-001 3.279861510E-001
 7.390000224E-001 3.256100416E-001
 7.434999943E-001 3.232565224E-001
 7.480000257E-001 3.209253550E-001
 7.524999976E-001 3.186162710E-001
 7.570000291E-001 3.163290024E-001
 7.615000010E-001 3.140633404E-001
 7.659999728E-001 3.118190169E-001
 7.705000043E-001 3.095958233E-001
 7.749999762E-001 3.073934615E-001
 7.795000076E-001 3.052117527E-001
 7.839999795E-001 3.030504584E-001
 7.885000110E-001 3.009093404E-001
 7.929999828E-001 2.987881899E-001
 7.975000143E-001 2.966867685E-001
 8.019999862E-001 2.946048379E-001
 8.065000176E-001 2.925422490E-001
 8.109999895E-001 2.904987037E-001
 8.155000210E-001 2.884740531E-001
 8.199999928E-001 2.864680886E-001
 8.245000243E-001 2.844805717E-001
 8.289999962E-001 2.825113237E-001
 8.335000277E-001 2.805601656E-001
 8.379999995E-001 2.786268592E-001
 8.424999714E-001 2.767112255E-001
 8.470000029E-001 2.748130560E-001
 8.514999747E-001 2.729322016E-001
 8.560000062E-001 2.710684538E-001
 8.604999781E-001 2.692216039E-001
 8.650000095E-001 2.673915327E-001
 8.694999814E-001 2.655780017E-001
 8.740000129E-001 2.637808323E-001
 8.784999847E-001 2.619998753E-001
 8.830000162E-001 2.602349818E-001
 8.874999881E-001 2.584859133E-001
 8.920000196E-001 2.567525506E-001
 8.964999914E-001 2.550346851E-001
 9.010000229E-001 2.533321977E-001
 9.054999948E-001 2.516449094E-001
 9.100000262E-001 2.499726564E-001
 9.144999981E-001 2.483152598E-001
 9.190000296E-001 2.466725856E-001
 9.235000014E-001 2.450444698E-001
 9.279999733E-001 2.434307635E-001
 9.325000048E-001 2.418313175E-001
 9.369999766E-001 2.402459681E-001
 9.415000081E-001 2.386745661E-001
 9.459999800E-001 2.371169776E-001
 9.505000114E-001 2.355730683E-001
 9.549999833E-001 2.340426594E-001
 9.595000148E-001 2.325256467E-001
 9.639999866E-001 2.310218662E-001
 9.685000181E-001 2.295311838E-001
 9.729999900E-001 2.280534655E-001
 9.775000215E-001 2.265885770E-001
 9.819999933E-001 2.251363993E-001
 9.865000248E-001 2.236967683E-001
 9.909999967E-001 2.222695798E-001
 9.955000281E-001 2.208546996E-001
 1.000000000E+000 2.194519937E-001
